The Hon Julia Gillard, MP		4/2/2013	25/3/2013	Prime Minister
The Hon Wayne Swan, MP			4/2/2013	25/3/2013	Treasurer
The Hon Wayne Swan, MP			4/2/2013	25/3/2013	Deputy Prime Minister
Senator the Hon Stephen Conroy	4/2/2013	25/3/2013	Minister for Broadband, Communications and the Digital Economy
Senator the Hon Stephen Conroy	4/2/2013	25/3/2013	Minister Assisting the Prime Minister on Digital Productivity
Senator the Hon Stephen Conroy	4/2/2013	25/3/2013	Leader of the Government in the Senate
Senator the Hon Penny Wong		4/2/2013	25/3/2013	Minister for Finance and Deregulation
Senator the Hon Penny Wong		4/2/2013	25/3/2013	Deputy Leader of the Government in the Senate
The Hon Simon Crean, MP			4/2/2013	25/3/2013	Minister for Regional Australia, Regional Development and Local Government
The Hon Simon Crean, MP			4/2/2013	25/3/2013	Minister for the Arts
The Hon Stephen Smith, MP		4/2/2013	25/3/2013	Minister for Defence
The Hon Stephen Smith, MP		4/2/2013	25/3/2013	Deputy Leader of the House
The Hon Chris Bowen, MP			4/2/2013	25/3/2013	Minister for Tertiary Education, Skills, Science and Research
The Hon Chris Bowen, MP			4/2/2013	25/3/2013	Minister for Small Business
The Hon Anthony Albanese, MP	4/2/2013	25/3/2013	Minister for Infrastructure and Transport
The Hon Anthony Albanese, MP	4/2/2013	25/3/2013	Leader of the House
The Hon Mark Dreyfus, QC, MP	4/2/2013	25/3/2013	Attorney-General
The Hon Mark Dreyfus, QC, MP	4/2/2013	25/3/2013	Minister for Emergency Management
The Hon Jenny Macklin, MP		4/2/2013	25/3/2013	Minister for Families, Community Services and Indigenous Affairs
The Hon Jenny Macklin, MP		4/2/2013	25/3/2013	Minister for Disability Reform
Senator the Hon Bob Carr 		4/2/2013	25/3/2013	Minister for Foreign Affairs
The Hon Tony Burke, MP			4/2/2013	25/3/2013	Minister for Sustainability, Environment, Water, Population and Communities
The Hon Tony Burke, MP			4/2/2013	25/3/2013	Vice-President of the Executive Council
The Hon Peter Garrett, AM, MP	4/2/2013	25/3/2013	Minister for School Education, Early Childhood and Youth
Senator the Hon Joseph Ludwig	4/2/2013	25/3/2013	Minister for Agriculture, Fisheries and Forestry
Senator the Hon Joseph Ludwig	4/2/2013	25/3/2013	Minister Assisting on Queensland Floods Recovery
The Hon Martin Ferguson, MP		4/2/2013	25/3/2013	Minister for Resources and Energy
The Hon Martin Ferguson, MP		4/2/2013	25/3/2013	Minister for Tourism
The Hon Dr Craig Emerson, MP	4/2/2013	25/3/2013	Minister for Trade and Competitiveness
The Hon Dr Craig Emerson, MP	4/2/2013	25/3/2013	Minister Assisting the Prime Minister on Asian Century Policy
The Hon Greg Combet, AM, MP		4/2/2013	25/3/2013	Minister for Climate Change and Energy Efficiency
The Hon Greg Combet, AM, MP		4/2/2013	25/3/2013	Minister for Industry and Innovation
The Hon Tanya Plibersek, MP		4/2/2013	25/3/2013	Minister for Health
The Hon Bill Shorten, MP		4/2/2013	25/3/2013	Minister for Employment and Workplace Relations
The Hon Bill Shorten, MP		4/2/2013	25/3/2013	Minister for Financial Services and Superannuation
The Hon. Mark Butler, MP		4/2/2013	25/3/2013	Minister for Mental Health and Ageing
The Hon. Mark Butler, MP		4/2/2013	25/3/2013	Minister for Social Inclusion
The Hon. Mark Butler, MP		4/2/2013	25/3/2013	Minister for Housing and Homelessness
The Hon. Mark Butler, MP		4/2/2013	25/3/2013	Minister Assisting the Prime Minister on Mental Health Reform
The Hon Brendan O'Connor, MP	4/2/2013	25/3/2013	Minister for Immigration and Citizenship
Senator the Hon Kim Carr		4/2/2013	25/3/2013	Minister for Human Services
The Hon Kate Ellis, MP			4/2/2013	25/3/2013	Minister for Early Childhood and Childcare
The Hon Kate Ellis, MP			4/2/2013	25/3/2013	Minister for Employment Participation
The Hon Warren Snowdon, MP		4/2/2013	25/3/2013	Minister for Veterans' Affairs 
The Hon Warren Snowdon, MP		4/2/2013	25/3/2013	Minister for Defence Science and Personnel
The Hon Warren Snowdon, MP		4/2/2013	25/3/2013	Minister for Indigenous Health
The Hon Warren Snowdon, MP		4/2/2013	25/3/2013	Minister Assisting the Prime Minister on the Centenary of ANZAC
The Hon Gary Gray, AO, MP		4/2/2013	25/3/2013	Special Minister of State
The Hon Gary Gray, AO, MP		4/2/2013	25/3/2013	Minister for the Public Service and Integrity
The Hon Jason Clare, MP			4/2/2013	25/3/2013	Minister for Home Affairs 
The Hon Jason Clare, MP			4/2/2013	25/3/2013	Minister for Justice
The Hon Jason Clare, MP			4/2/2013	25/3/2013	Cabinet Secretary
The Hon Julie Collins, MP		4/2/2013	25/3/2013	Minister for Community Services 
The Hon Julie Collins, MP		4/2/2013	25/3/2013	Minister for Indigenous Employment and Economic Development 
The Hon Julie Collins, MP		4/2/2013	25/3/2013	Minister for the Status of Women
The Hon David Bradbury, MP		4/2/2013	25/3/2013	Assistant Treasurer 
The Hon David Bradbury, MP		4/2/2013	25/3/2013	Minister Assisting for Deregulation
Senator the Hon Kate Lundy		4/2/2013	25/3/2013	Minister for Sport 
Senator the Hon Kate Lundy		4/2/2013	25/3/2013	Minister for Multicultural Affairs 
Senator the Hon Kate Lundy		4/2/2013	25/3/2013	Minister Assisting for Industry and Innovation
The Hon Mike Kelly, AM, MP		4/2/2013	25/3/2013	Minister for Defence Materiel
The Hon. Richard Marles			4/2/2013	25/3/2013	Parliamentary Secretary for Foreign Affairs
The Hon. Richard Marles			4/2/2013	25/3/2013	Parliamentary Secretary for Pacific Island Affairs
Senator the Hon Jan McLucas		4/2/2013	25/3/2013	Parliamentary Secretary to the Prime Minister
Senator the Hon Jan McLucas		4/2/2013	25/3/2013	Parliamentary Secretary for Disabilities and Carers
Senator the Hon Jacinta Collins	4/2/2013	25/3/2013	Parliamentary Secretary for School Education and Workplace Relations
Senator the Hon Jacinta Collins	4/2/2013	25/3/2013	Manager of Government Business in the Senate
Senator the Hon Don Farrell		4/2/2013	25/3/2013	Parliamentary Secretary for Sustainability and Urban Water
Senator the Hon David Feeney	4/2/2013	25/3/2013	Parliamentary Secretary for Defence
The Hon Catherine King, MP		4/2/2013	25/3/2013	Parliamentary Secretary for Health and Ageing
The Hon Catherine King, MP		4/2/2013	25/3/2013	Parliamentary Secretary for Infrastructure and Transport
The Hon Sid Sidebottom, MP		4/2/2013	25/3/2013	Parliamentary Secretary for Agriculture, Fisheries and Forestry
The Hon. Bernie Ripoll, MP		4/2/2013	25/3/2013	Parliamentary Secretary to the Treasurer
The Hon Sharon Bird, MP			4/2/2013	25/3/2013	Parliamentary Secretary for Higher Education and Skills
The Hon Yvette D'Ath, MP		4/2/2013	25/3/2013	Parliamentary Secretary for Climate Change and Energy Efficiency
The Hon Kelvin Thomson, MP		4/2/2013	25/3/2013	Parliamentary Secretary for Trade
The Hon Melissa Parke			4/2/2013	25/3/2013	Parliamentary Secretary for Mental Health, Homelessness and Social Housing
