member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
215,,Natasha Jessica Stott Despoja,,SA,29.11.1995,section_15,30.6.2008,retired,AD
232,,John Odin Wentworth Watson,,Tas.,1.7.1978 ,,30.6.2008,retired,LIB
233,,Ruth Stephanie Webber,,WA,1.7.2002 ,,30.6.2008,defeated,ALP
# Changes on 11.3.2009,,,,,,,,,
72,,Christopher Martin Ellison,,WA,1.7.1993,,30.1.2009,resigned,LIB
279,,Christopher John Back,,WA,11.3.2009,,31.7.2017,resigned,LIB
# Next available Senator number is: 280,,,,,,,,,
285,,Richard Di Natale,,Victoria,1.7.2011,,26.8.2020,resigned,GRN
286,,Sean Edwards,,SA,1.7.2011,,9.5.2016,defeated,LIB
287,,David Fawcett,,SA,1.7.2011,,3.5.2025,defeated,LIB
288,,Alex Gallacher,,SA,1.7.2011,,29.8.2021,died,ALP
291,,Bridget McKenzie,,Victoria,1.7.2011,,,still_in_office,NP
292,,John Madigan,,Victoria,1.7.2011,,4.9.2014,changed_party,DLP
293,,Lee Rhiannon,,NSW,1.7.2011,,18.08.2018,resigned,GRN
295,,Lisa Singh,,Tasmania,1.7.2011,,1.7.2019,defeated,ALP
296,,Matt Thistlethwaite,,NSW,1.7.2011,,9.8.2013,resigned,ALP
297,,Anne Urquhart,,Tasmania,1.7.2011,,28.3.2025,resigned,ALP
298,,Larissa Waters,,Queensland,1.7.2011,,18.7.2017,resigned,GRN
300,,Penny Wright,,SA,1.7.2011,,10.9.2015,resigned,GRN
301,,Arthur Sinodinos,,NSW,31.10.2011,section_15,11.11.2019,resigned,LIB
302,,Robert John Carr,,NSW,06.03.2012,,24.10.2013,resigned,ALP
303,,Dean Smith,,WA,2.5.2012,,,still_in_office,LIB
304,,Lin Estelle Thorp,,Tas.,20.6.2012,,30.6.2014,retired,ALP
305,,Peter Stuart Whish-Wilson,,Tas.,20.06.2012,,,still_in_office,GRN
306,,Anne Ruston,,SA,05.09.2012,section_15,,still_in_office,LIB
307,,Sue Lines,,WA,15.5.2013,section_15,30.9.2016,changed_party,ALP
308,,Sam Dastyari,,NSW,21.8.2013,section_15,25.1.2018,resigned,ALP
309,,Nova Peris,,NT,07.9.2013,,9.5.2016,retired,ALP
310,,Mehmet Tillem,,Victoria,21.8.2013,section_15,30.6.2014,retired,ALP
311,,Zed Seselja,,ACT,07.9.2013,,21.5.2022,defeated,LIB
312,,Deborah O'Neill,,NSW,13.11.2013,section_15,,still_in_office,ALP
313,,Barry O'Sullivan,,QLD,11.2.2014,section_15,1.7.2019,retired,NP
826,,Joe Bullock,,WA,1.7.2014,,13.4.2016,resigned,ALP
827,,Matthew Canavan,,QLD,1.7.2014,,,still_in_office,LNP
828,,Bob Day,,SA,1.7.2014,,1.11.2016,resigned,FFP
